,customerid,bank_account_type,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,age,village,state,county
54,8a8589a053acc39e0153b217f3d031cb,Other,Standard Chartered,,Permanent,,34.0,Sagwari,Federal Capital Territory,Bwari
55,8a858e2e5bb57a37015bbe3c1af53cac,Savings,GT Bank,,Permanent,,33.0,,Oyo,
56,8a8588c9548a33b201548b3cdb0f0c53,Savings,GT Bank,,Permanent,Graduate,33.0,,California,Orange County
57,8a858e345bd96da8015bdcde39b37570,Savings,GT Bank,,,,39.0,,Edo,Oredo
58,8a858e0f5c45466f015c4a6560255de7,Savings,Stanbic IBTC,,Permanent,,39.0,Aiyetoro,Lagos,Ajeromi/Ifelodun
59,8a858fe758dc437a0158e524adb32ae2,Savings,EcoBank,,Permanent,,32.0,Mabushipe,Federal Capital Territory,Municipal Area Council
60,8a858e185b4923b4015b4ae48d28646a,Savings,GT Bank,,Permanent,,35.0,,Lagos,Kosofe
61,8a858f725be8d4ff015bec5207ce5524,Savings,First Bank,,Permanent,,37.0,Sogeke,Ogun,Abeokuta South
62,8a858e2c5cc64f70015cc942825e71ae,Savings,GT Bank,,Permanent,,37.0,,Lagos,Kosofe
63,8a858fbd5cd6054a015cda2ad0aa086d,Savings,UBA,,Permanent,,34.0,Obor,Abia,Aba North
64,8a858fba5cd5feee015cdb7d7d574f0f,Savings,GT Bank,,Permanent,,49.0,,Niger,Chanchaga
65,8a858fd85b685607015b75c2390b7173,Savings,First Bank,,,,35.0,,Lagos,Alimosho
66,8a858fe8555f401f0155679de3f04eb4,Other,GT Bank,,Permanent,,35.0,,Oyo,Ibadan North
67,8a8589b953bc23f70153c887b4b45c9a,Other,GT Bank,,Permanent,,29.0,Oke-Aro,Ogun,Ifo
68,8a858e935b496584015b496cdac50369,Savings,GT Bank,,Permanent,,32.0,Ojota,Lagos,Kosofe
69,8a858e1d5b2510b2015b2c76fe45726a,Savings,First Bank,,,,56.0,Kona,Taraba,Yorro
70,8a76e7d443e6e97c0143ed0a1f4d5331,Other,Access Bank,,Permanent,Post-Graduate,44.0,,Lagos,Lagos Island
71,8a8588bd5369b66d01536e7b60501609,Other,Zenith Bank,,Permanent,Graduate,43.0,Ilado,Lagos,Eti Osa
72,8a858f985b3db23f015b3ddf9cd73ed5,Savings,GT Bank,,Permanent,,39.0,Ejigbo,Lagos,Oshodi/Isolo
73,8a858eae5c356262015c35894b181c1b,Savings,Fidelity Bank,,Permanent,,37.0,,Kaduna,Kaduna North
74,8a858e6d5b252065015b2fa1ee3843da,Savings,GT Bank,,,,37.0,Shangisha,Lagos,Kosofe
75,8a858f6e5a951fc2015a9e8c2e4f4436,Savings,Access Bank,,Permanent,,47.0,Ajegunle,Lagos,Alimosho
76,8a858e2d5bc95851015bc98eb8fc1575,Savings,GT Bank,,,,36.0,,Lagos,Kosofe
77,8a858f6057e2dba50157f3558ac902d4,Other,GT Bank,,Student,Graduate,36.0,Nguru,Imo,Aboh-Mbaise
78,8a858e885c63d379015c730aa5f46f8b,Savings,First Bank,,Permanent,,38.0,Lemba,Lagos,Ojo
79,8a858e9156e137c601570b4d23a949fc,Other,EcoBank,,Self-Employed,,36.0,Kakau,Kaduna,Chikun
80,8a858fd35b5dfefb015b5e18a7ee15aa,Savings,First Bank,,Permanent,,35.0,,Lagos,Eti Osa
81,8a858eea5c82f136015c82f59f3201c7,Savings,Diamond Bank,,,,32.0,,Ogun,Abeokuta South
82,8a858f305c8dd672015c9439eb1c6964,Savings,UBA,,,,32.0,Mabushipe,Federal Capital Territory,Municipal Area Council
83,8a858f7e5c69a6e3015c74334d791005,Savings,GT Bank,,Permanent,,35.0,Ishaga,Lagos,Oshodi/Isolo
84,8a858f8e597cf3f401598353f79a7171,Savings,First Bank,,Permanent,,32.0,Ishersi,Ogun,Ifo
85,8a858e6a5bfd4b54015c067c589f44c6,Savings,GT Bank,,,,49.0,Shilade,Ogun,Obafemi Owode
86,8a858fa257d8223c0157e3c2a5e45d82,Other,GT Bank,,Permanent,Graduate,31.0,,Federal Capital Territory,Municipal Area Council
87,8a8589005384ab570153880ceba74594,Other,GT Bank,AWOLOWO,Permanent,Graduate,43.0,Igbo,Lagos,Eti Osa
88,8a8588dc536a1413015375acd19d4154,Savings,GT Bank,,Permanent,,32.0,Ikota,Lagos,Eti Osa
89,8a858e225c404292015c4f19fdfb148a,Savings,GT Bank,,Permanent,,39.0,George,Lagos,Ikeja
90,8a858e865bd4175e015bd85ed8ed6940,Savings,GT Bank,,Permanent,,30.0,Onigbongbo,Lagos,Ikeja
91,8a858f73594ab1ea01595e72de584bca,Savings,GT Bank,,Permanent,,36.0,,Northern Ireland,County Londonderry
92,8a858eb4588604f701589b300e2768ee,Savings,GT Bank,,Permanent,,35.0,,Oyo,Ibadan South East
93,8a858ff5562dc3b601562e96135108e3,Other,UBA,,Self-Employed,,27.0,,Federal Capital Territory,Municipal Area Council
94,8a858fdc57b91cfc0157d2d576b01016,Savings,GT Bank,OGBA,Student,Graduate,30.0,Libowu,Lagos,Ifako/Ijaye
95,8a858ef45cd09b8c015cd4d82f22728d,Savings,Access Bank,,Permanent,,27.0,Igbobi,Lagos,Shomolu
96,8a858f1b5b256bc9015b2f7ff2d860fb,Savings,GT Bank,,Permanent,,30.0,,Ekiti,Ekiti South-West
97,8a858f725b49c0c0015b4de5320b0e90,Savings,GT Bank,,Unemployed,,37.0,,Nasarawa,
98,8a858fc75cd62882015ce0364fc515ca,Savings,First Bank,,Permanent,,40.0,,Osun,Olorunda
99,8a858e205af28299015af2acd2ff06a6,Current,GT Bank,,Permanent,,35.0,,Lagos,Lagos Island
100,8a858ed457a040d30157b40881a25091,Other,GT Bank,,Permanent,Post-Graduate,30.0,,Ogun,Abeokuta South
101,8a858f2a5b3f2121015b42331f955db2,Savings,GT Bank,,Permanent,,31.0,,Federal Capital Territory,Municipal Area Council
102,8a858e285ba4bf33015ba50277171d93,Current,Stanbic IBTC,,Permanent,,36.0,Rumuoparali,Rivers,
103,8a858e225c404292015c4bc05b45616d,Savings,First Bank,,Permanent,,43.0,Gidan Nbora,Federal Capital Territory,Municipal Area Council
104,8a858ee755a0c84a0155b50a08352311,Other,GT Bank,,Permanent,,44.0,Ushapa,Federal Capital Territory,Bwari
105,8a8588f754a058cb0154b922d7fe1ffd,Other,UBA,,Permanent,Graduate,39.0,Sogeke,Ogun,Abeokuta South
106,8a858f305c8dd672015c92b0711a3333,Savings,Zenith Bank,,Permanent,,33.0,,Lagos,Lagos Island
107,8a858f7e5c886ca9015c89471cef5b44,Savings,UBA,,Permanent,,33.0,,Kwara,Ilorin East
108,8a858e685c217d36015c2fedb165662b,Savings,GT Bank,,Permanent,,33.0,Sokenu,Ogun,Abeokuta South
109,8a858f5d5963fbb701597473936c208a,Savings,GT Bank,,Permanent,,37.0,Asewele,Ondo,Odigbo
110,8a858fd85b685607015b70cf46b509b2,Savings,First Bank,,Permanent,,46.0,Ado,Lagos,Eti Osa
111,8a858fa154e2912f01551033886c784b,Savings,GT Bank,,Permanent,Graduate,33.0,,Lagos,Ikeja
112,8a858e5357d823010157ddcb238e0d02,Other,Sterling Bank,,Permanent,Graduate,32.0,,Federal Capital Territory,Municipal Area Council
113,8a8588fd53f1099e01540ec7527b308c,Savings,Diamond Bank,,Permanent,Graduate,42.0,,Imo,Owerri North
114,8a858eba5c884d2a015c8bea59385157,Savings,Heritage Bank,,Permanent,,39.0,Ologode,Lagos,
115,8a8588235384a58d0153a80649f43890,Other,Zenith Bank,,Permanent,Graduate,46.0,,Lagos,Ikeja
116,8a858e415c5a2000015c5a85158e2fd3,Savings,GT Bank,,,,34.0,,Ekiti,
117,8a858f11594a388001595ad3f6c06395,Savings,EcoBank,,,,29.0,,Rivers,Bonny
118,8a8588dd54a3ead30154ada314c44e09,Other,GT Bank,,Permanent,Post-Graduate,42.0,Barden Yana,Kaduna,Kaduna South
119,8a85886f54517ee0015470749d3c3ce7,Other,GT Bank,,Self-Employed,Graduate,37.0,Ekae,Edo,Ikpoba-Okha
120,8a858e5856b7840c0156c2db475368e4,Other,Diamond Bank,,Student,,28.0,,Osun,Irewole
121,8a858eda552adcc2015553a6385628e7,Savings,Fidelity Bank,,Permanent,,35.0,Abule Ijesha,Lagos,Shomolu
122,8a858ee45beda286015befb09fca0d6f,Savings,GT Bank,,,,35.0,Alapako,Lagos,Amuwo Odofin
123,8a858e885c63d379015c682355b72343,Savings,GT Bank,AJOSE ADEOGUN,Permanent,Graduate,41.0,,Lagos,Ibeju Lekki
124,8a858f955cc6631f015ccabe708129ed,Savings,Access Bank,,,,30.0,,Anambra,Onitsha North
125,8a858eda5c8863ff015c911534db43b8,Savings,Access Bank,,Permanent,,37.0,Itire,Lagos,Surulere
126,8a858e0256b781d80156d77deb7222b8,Other,Diamond Bank,,Self-Employed,Graduate,55.0,,Lagos,Oshodi/Isolo
127,8a858f1f5c834d4f015c85f0235d6562,Savings,GT Bank,,,,45.0,Sangotedo,Lagos,Eti Osa
128,8a858fd45a4260bc015a469e3c74060a,Savings,UBA,,Permanent,,28.0,,Ogun,Ijebu North
129,8a8589b953bc23f70153c871f9e25781,Savings,First Bank,,Permanent,,37.0,,Federal Capital Territory,Municipal Area Council
130,8a8589b953bc23f70153c79a4b241b3d,Other,GT Bank,,Permanent,Post-Graduate,35.0,Iponri,Lagos,Surulere
131,8a858f035ab947e3015abdb1094c6d45,Savings,GT Bank,,Permanent,,31.0,Igbo,Lagos,Eti Osa
132,8a858f1f586c8fc801586cc4516e1b5c,Savings,Skye Bank,,Permanent,,40.0,Rukpokwu-Obio,Rivers,Obio/Akpor
133,8a858fc65d138f01015d14ba1ceb685b,Savings,First Bank,,,,46.0,Oluwo,Ogun,Ifo
134,8a858ef35d0cff86015d0d51923d2548,Savings,Stanbic IBTC,,Permanent,,37.0,,Lagos,Ifako/Ijaye
135,8a858fe758dc437a0158eb12515362d4,Savings,GT Bank,,,,36.0,,Oyo,Ibadan North
136,8a858e425d5c1d76015d5fd6a1004453,Savings,GT Bank,,,,42.0,Igbo,Lagos,Eti Osa
137,8a858f74584a54aa015854d6e7027ac1,Other,UBA,,Permanent,Graduate,42.0,Ijapo,Ogun,Abeokuta South
138,8a858fca5c35df2c015c39ad8695343e,Savings,GT Bank,,Permanent,,42.0,Bode Olude,Ogun,Abeokuta North
139,8a858ffe5ab2b16a015ab3180c915303,Savings,Keystone Bank,,Permanent,,36.0,,Lagos,Apapa
140,8a858fe55656a93801565e0c6d4575d6,Other,First Bank,,Permanent,,40.0,,Anambra,Onitsha North
141,8a8589f853f100fb015409cd02170e67,Savings,GT Bank,,Permanent,,46.0,,Federal Capital Territory,Municipal Area Council
142,8a858f5d5963fbb701596945e671298c,Savings,Zenith Bank,,Permanent,,34.0,Ishaga,Lagos,Oshodi/Isolo
143,8a858ea75ba01fdf015ba4313c283d37,Savings,Union Bank,,,,46.0,,Imo,Owerri North
144,8a858fee5863a049015864ec37223d8b,Savings,Access Bank,,Permanent,,30.0,,Ekiti,
145,8a858f305c8dd672015c9cc94b4c2adb,Savings,Diamond Bank,,Permanent,,33.0,Alausa,Lagos,Ikeja
146,8a8589b953bc23f70153ccc3fd3519c7,Savings,GT Bank,ABULE EGBA,Permanent,Graduate,45.0,,Osun,Ede North
147,8a858ebc5bd450fe015bd5375abb3175,Savings,GT Bank,,,,30.0,,Imo,Owerri West
148,8a858fcf558237b401558b07734101d6,Other,Zenith Bank,,Self-Employed,Post-Graduate,32.0,Lafia,Lagos,Mushin
149,8a858f98560bbe110156217f2b324081,Other,GT Bank,,Student,Graduate,29.0,Ijanikin,Lagos,Ojo
150,8a858f1b5b256bc9015b2f5280ff57dd,Savings,GT Bank,,Permanent,,34.0,,Ogun,Abeokuta South
151,8a858f9f5bd99987015be35f3b5730fe,Savings,GT Bank,,,,39.0,,Lagos,Lagos Island
152,8a858ed55c63db54015c705c10a864c9,Savings,GT Bank,,Permanent,,43.0,Nyanya,Federal Capital Territory,Municipal Area Council
153,8a858e595b42b641015b42bed45707ec,Savings,GT Bank,,Permanent,,34.0,Ishaga,Lagos,Oshodi/Isolo
154,8a858eda5984353b01598957192919d7,Savings,UBA,,Permanent,,40.0,Oke Olubadan,Ogun,Obafemi Owode
155,8a858f0c57d3fe8e0157dcd14f854fb7,Savings,EcoBank,,Permanent,Post-Graduate,37.0,,Oyo,Ibadan North East
156,8a8589d754a05c0a0154a492f1746b13,Savings,Skye Bank,,Permanent,,50.0,,Ondo,Akure North
157,8a8588f6548fb0c20154957369615d27,Savings,First Bank,,Student,Secondary,39.0,Ishawo,Lagos,
158,8a858e035b62dff0015b63c73aba6d9a,Savings,Zenith Bank,,Permanent,,39.0,,Kano,Nassarawa
159,8a858fca5c35df2c015c39ad8695343e,Savings,GT Bank,,Permanent,,42.0,Bode Olude,Ogun,Abeokuta North
160,8a858e36590808e301592ae6ca1a0f3b,Savings,Access Bank,,Permanent,,41.0,,Anambra,Ihiala
161,8a858fc259d7378a0159da1f629a0741,Savings,GT Bank,,Permanent,,39.0,Adegbite,Oyo,Ibadan South West
162,8a85890754145ace015429211b513e16,Savings,First Bank,,Permanent,,45.0,Agbede,Oyo,Akinyele
163,8a858eaf570f3a0a01571e1288e00047,Other,GT Bank,,Permanent,Graduate,38.0,Abakpa,Kaduna,Kaduna South
164,8a858f505c7e3a50015c81f70ee35ff5,Savings,GT Bank,,Permanent,,30.0,,Ogun,Abeokuta South
165,8a858e3c5cac9fcc015cb09fdd925a5a,Savings,Sterling Bank,,Permanent,,30.0,Idiya,Ogun,Abeokuta North
166,8a858e51584a1fc70158595f611e49e6,Savings,Diamond Bank,,,,48.0,Otta,Ogun,Ado Odo/Ota
167,8a858e6a5bfd4b54015c0297d9ee75fb,Savings,EcoBank,,Permanent,,42.0,,Osun,Osogbo
168,8a858e035693e02901569984732a33ea,Savings,UBA,,Permanent,,38.0,Aka,Akwa Ibom,
169,8a858e105bd92644015be762bf10576f,Savings,GT Bank,,Permanent,,31.0,Ajegunle,Lagos,Alimosho
170,8a8589045384bd8301539e05b3d35023,Savings,GT Bank,,Self-Employed,Secondary,36.0,Okunola,Lagos,Alimosho
171,8a858e285aa8cfc1015aa8fd90951f5a,Current,FCMB,,Permanent,,45.0,Walmayo,Benue,
172,8a858ebb5a18039b015a183953ea16cc,Savings,GT Bank,,Permanent,,36.0,,Kano,Nassarawa
173,8a858e6f5668e01701567479d1ae3320,Other,UBA,,Permanent,,33.0,Alausa,Lagos,Ikeja
174,8a858e2159f3c9030159f4336f1925f4,Savings,First Bank,,Permanent,,42.0,Rumurolu,Rivers,Obio/Akpor
175,8a858e135cb22031015cb7f9700e06f8,Savings,Zenith Bank,,,,39.0,,Federal Capital Territory,Municipal Area Council
176,8a858f54589736f401589857085e3b5b,Savings,Access Bank,,Student,,30.0,,Osun,Ife Central
177,8a858e475c127bce015c1a358a222097,Savings,Diamond Bank,,,,34.0,Iranla,Lagos,Eti Osa
178,8a858966538deb190153a3e3cce916e9,Other,Stanbic IBTC,,Permanent,,31.0,Oworonṣoki,Lagos,Kosofe
179,8a858fcb5ca240f7015ca6656e972612,Savings,GT Bank,,,,38.0,Ladesuwa,Ogun,
180,8a858fe45cd62cbf015ce93a8a26355d,Savings,Zenith Bank,,Permanent,,37.0,,Rivers,
181,8a858e885b68546c015b736088184034,Savings,GT Bank,,Permanent,,34.0,Egbelu,Rivers,Obio/Akpor
182,8a858f935ca09667015ca0ee3bc63f51,Savings,Skye Bank,,Permanent,,32.0,Adegbayi,Oyo,Egbeda
183,8a858e495cef1ef1015cf16757660080,Savings,GT Bank,,Permanent,,36.0,Ajah,Lagos,Eti Osa
184,8a858e235be813f6015be923ff0d621f,Savings,GT Bank,,Permanent,,39.0,George,Lagos,Ikeja
185,8a858ea35a5b46ec015a5d1596805e48,Savings,GT Bank,,Permanent,,34.0,Agidingbi,Lagos,Ikeja
186,8a858f5c5bfc7082015bfc91ab1c169b,Savings,Zenith Bank,,Permanent,,37.0,Oke-Aro,Ogun,Ifo
187,8a858faf55d95d930155db6ec1274592,Other,Diamond Bank,,Permanent,,29.0,Shangisha,Lagos,Kosofe
188,8a858edf594a45ed01594bd668493b10,Savings,Zenith Bank,,Permanent,,39.0,,Lagos,Apapa
189,8a858fa25c120898015c16abe1cb45f4,Savings,First Bank,,Permanent,,48.0,Kaduna South,Kaduna,Kaduna South
190,8a858f5e5cf45779015cf47ed8db1872,Savings,GT Bank,,Permanent,,31.0,,Federal Capital Territory,Municipal Area Council
191,8a858e335d1dd902015d2c79c1c6425b,Savings,Zenith Bank,,Permanent,,39.0,,Lagos,Ikeja
192,8a858eba5c884d2a015c887b946e2236,Savings,First Bank,,,,45.0,Otta,Ogun,Ado Odo/Ota
193,8a858ee75afc09f4015aff3cdad86a6f,Savings,Keystone Bank,,,,46.0,Elesin,Lagos,
194,8a858e425700714c015700c9da261e46,Other,GT Bank,,Permanent,,45.0,Agun,Lagos,Alimosho
195,8a858fb15b34a708015b37eeb86e0008,Savings,Diamond Bank,,Permanent,,44.0,,Lagos,Ikeja
196,8a858fd75ba49873015ba4e0e0881d32,Savings,UBA,,,,47.0,Opamore,Lagos,Kosofe
197,8a858f1f58716185015877272a5b5d18,Savings,First Bank,,Permanent,,35.0,,Kaduna,Kaduna South
198,8a858fd85b685607015b75bab2977053,Savings,GT Bank,,Permanent,,40.0,,Lagos,Ojo
199,8a858f8e5d0dc74e015d0de015760ef2,Savings,GT Bank,,Permanent,,33.0,Ibafo,Ogun,Obafemi Owode
200,8a858ed159fabcd30159fb47c7062202,Savings,GT Bank,,,,47.0,Idi Iroko,Oyo,Ibadan South East
201,8a858f74584a54aa015862440ad90e4d,Savings,GT Bank,,Permanent,,46.0,Alagbado,Ogun,Ifo
202,8a858f955a61ad4e015a669234707a25,Savings,GT Bank,,Permanent,,33.0,Olute,Lagos,Amuwo Odofin
203,8a858f25584470aa015852a3fee27b75,Savings,First Bank,,Permanent,Graduate,30.0,Fiditi,Oyo,Afijio
204,8a85889853f0fbaa0153f22d15cc4a8b,Savings,GT Bank,,Permanent,Graduate,53.0,Agelu,Oyo,Ido
205,8a858ef258d4a48b0158dac227745fc0,Savings,GT Bank,,Permanent,,28.0,,Oyo,Ibadan South West
206,8a858f465668e3d60156731df06205ef,Other,GT Bank,,Permanent,,31.0,Ogbere,Oyo,Oluyole
207,8a858e445ca25ee3015ca6262dd83aaf,Savings,Union Bank,,Permanent,,31.0,Yaba,Lagos,Lagos Mainland
208,8a858e195b90e512015b99fbb1dc677a,Savings,GT Bank,,Permanent,,34.0,,Kano,Gwale
209,8a858e6f5668e0170156849effb35b01,Savings,First Bank,,Self-Employed,,45.0,Opamore,Lagos,Kosofe
210,8a858f2c5ca72bae015ca8b479831073,Savings,EcoBank,,Permanent,,31.0,,Enugu,Enugu South
211,8a858f1554e294490154f1aed36c042f,Savings,UBA,,Permanent,,42.0,Jako-Petedo,Ogun,Ado Odo/Ota
212,8a858e345bd96da8015bdf75f0096214,Savings,First Bank,,,,36.0,Oke-Aro,Ogun,Ifo
213,8a858e1d5cd58f9e015ce109b14c577e,Savings,GT Bank,,,,32.0,,Ogun,Abeokuta South
214,8a858fc959cbd1500159cf7081f02d60,Savings,Access Bank,,Permanent,,37.0,Okutukutu,Bayelsa,
215,8a858f5f5a3d03ab015a3ebc0fd0071d,Savings,GT Bank,,Permanent,,47.0,,Lagos,
216,8a858ff455a09f5a0155aaa450751528,Other,GT Bank,,Student,Post-Graduate,29.0,,Lagos,
217,8a858e495cef1ef1015cf07cc48170e6,Savings,Zenith Bank,,Unemployed,,38.0,Abule Ijesha,Lagos,Shomolu
218,8a858f4c5bb597f6015bc01898fd0584,Savings,GT Bank,,Permanent,,37.0,,Lagos,Ikeja
219,8a858f0f5bfd79d2015c08e9cd6269a1,Savings,Diamond Bank,,Permanent,,38.0,Idi Oro,Lagos,Shomolu
220,8a858e1b59fa11590159fa2239010639,Savings,Access Bank,,Permanent,,30.0,Abule Ijesha,Lagos,Shomolu
221,8a858e3e5b3ee747015b3ee854f7012f,Savings,GT Bank,,Permanent,,43.0,,Jigawa,
222,8a858faf5c5ec14b015c5efb738127a6,Savings,GT Bank,,,,41.0,,Oyo,Ido
223,8a858ef7599330e0015993c3e1af2ecc,Savings,UBA,,Permanent,,43.0,Ijesha-Tedo,Lagos,Surulere
224,8a858ec55ca7919d015caa963ddc6e81,Savings,FCMB,,Permanent,,43.0,Osasa,Ogun,Odogbolu
225,8a858e705b3a03c7015b3b10e6ae5eda,Savings,UBA,,Permanent,,38.0,,Federal Capital Territory,Municipal Area Council
226,8a858fcd56b9f22c0156d01a97452dcb,Other,GT Bank,,Permanent,Graduate,29.0,Akinyele,Lagos,Alimosho
227,8a858fe8555f401f015567a0cca24f03,Savings,GT Bank,,Self-Employed,,30.0,Rumualogu,Rivers,Obio/Akpor
228,8a858f295c8d307f015c9e4f9b771eed,Savings,Diamond Bank,,Permanent,,40.0,Orile Oshodi,Lagos,Oshodi/Isolo
229,8a858ffa55ca72a50155e936d7ad5bf5,Current,Stanbic IBTC,,Permanent,,48.0,,Kwara,Ilorin West
